"Read Details","Lees details"
"Products ""%1"" and ""%2"" have the same set of attribute values.","Producten ""%1"" en ""%2"" hebben dezelfde set van attribuutwaarden."
"You can't add the item to shopping cart.","We kunnen het product niet toevoegen aan de winkelwagen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"Some product variations fields are not valid.","Sommige product variaties velden zijn niet geldig."
"Configuration must have specified attributes","De configuratie moet specifieke attributen hebben"
"Configurable product ""%1"" does not have sub-products","Configureerbaar product ""%1"" heeft geen sub-producten"
"Type %1 is not an instance of %2","Type %1 is niet een instantie van %2"
"Choose Affected Attribute Set","Kies getroffen Attributenset"
"Add configurable attributes to the current Attribute Set","Configureerbare attributen toevoegen aan de huidige Attributenset"
Confirm,Bevestigen
"New Attribute Set Name","Naam nieuwe attributenset"
"Select Associated Product","Selecteer bijbehorende product"
Done,Klaar
"Choose a new product to delete and replace the current product configuration.","Kies een nieuw product om te verwijderen en vervang de huidige productconfiguratie."
"For better results add attributes and attribute values to your products.","Voor betere resultaten voeg attributen en attribuut waarden to aan uw producten."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Configureerbare producten geeft klanten de mogelijkheid om opties selecteren (Bv. T-shirt kleur). Je moet een simpel-product aanmaken voor elke configuratie (Bv. een product voor elke kleur)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations first remove all downloadable files.","Configuraties kunnen niet worden aangemaakt voor een product met downloadbare bestanden. Om configuraties te maken moet u eerst alle downloadbare bestanden verwijderen."
"Add Products Manually","Handmatig toevoegen van producten"
"Create Configurations","Configuraties aanmaken"
"Current Variations","Huidige Variaties"
Image,Beeld
Name,Naam
SKU,Art.nr.
Price,Prijs
Quantity,Aantal
Weight,Gewicht
Attributes,Attributen
Actions,acties
"Custom options with price type ""percent"" is not available for configurable product.","Custom opties met prijs-soort ""percentage"" is niet beschikbaar voor configureerbare producten."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet van de attributenset verwijderen."
"Associated Products","Gerelateerde producten"
"Step 2: Attribute Values","Stap 2: Kenmerkwaarden"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selecteer waarden van elk attribuut om deze op te nemen in dit product. Elke unieke combinatie van waarden creÃ«ert een uniek art.nr."
"Sort Variations","Sorteer variaties"
Options,Opties
"Select All","Alles selecteren"
"Deselect All","Alles deselecteren"
"Remove Attribute","Verwijder Attribuut"
"Save Option","Optie opslaan"
"Remove Option","Optie Verwijderen"
"Create New Value","Maak een nieuwe waarde"
"Step 3: Bulk Images Price and Quantity","Stap 3: Bulk afbeeldingen Prijs en Aantal"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Op basis van uw selectie worden %1 nieuwe product aangemaakt. Gebruikt deze stap om afbeeldingen en prijzen voor de nieuwe producten in te stellen."
Images,Afbeeldingen
"Apply single set of images to all SKUs","Pas Ã©Ã©n set van afbeeldingen toe op alle art.nrs."
"Apply unique images by attribute to each SKU","Pas unieke afbeeldingen toe door attributen op elk art.nr."
"Skip image uploading at this time","Sla afbeelding uploaden op dit moment over"
"Browse Files...","Blader door bestanden..."
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Remove image","Verwijder afbeelding"
Hidden,Verborgen
"Alt Text",Alt-tekst
Role,Rol
"Image Size",Afbeeldingsgrootte
"Image Resolution",Afbeeldingresolutie
"Hide from Product Page","Verbergen van product pagina"
"Select attribute","Selecteer attribuut"
Select,Selecteer
"Apply single price to all SKUs","Prijs toepassen op alle art.nrs."
"Apply unique prices by attribute to each SKU","Pas unieke prijzen toe door attribuut op elk art.nr."
"Skip price at this time","Sla prijzen op dit moment over"
"Apply single quantity to each SKUs","Pas enkele aantal toe op elke SKU"
"Apply unique quantity by attribute to each SKU","Apart aantal toepassen per attribuut voor elk Art.nr."
"Skip quantity at this time","Sla aantal over voor dit moment"
"Step 1: Select Attributes","Stap 1: Selecteer Attributen"
"Selected Attributes:","Geselecteerde Attributen:"
"Step 4: Summary","Stap 4: Samenvatting"
"Configurable products allow customers to choose options (Ex: shirt color).","Configureerbare producten klanten toestaan om te kiezen van de opties (Ex: shirt kleur)."
"Edit Configurations","Bewerken van configuraties"
"Upload Image","Upload afbeeldingen"
"Upload image","Upload afbeelding"
"No Image","Geen afbeelding"
"Choose a different Product","Kies een ander Product"
"Remove Product","Product verwijderen"
"Create Product Configurations","Productconfiguraties aanmaken"
Cancel,Annuleer
"Page not found.","Pagina niet gevonden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt dat u contact met ons opnam. U kunt spoedig op ons antwoord rekenen."
"We can't process your request right now. Sorry that's all we know.","We kunnen uw aanvraag nu niet verwerken. Sorry dat is alles wat we weten."
"* Required Fields","* Verplichte velden"
"Write Us","Neem contact met ons op"
Us,Ons
"Jot us a note and weâ€™ll get back to you as quickly as possible.","Laat een vraag of opmerking achter en wij zullen hier zo spoedig mogelijk op terugkomen."
Name,Naam
Email,E-mail
"Phone Number",Telefoonnummer
"Whatâ€™s on your mind?","Wat is uw vraag?"
Submit,Bevestig
"Invalid domain name: %1","Ongeldige domeinnaam: %1"
"Invalid cookie lifetime: %1","Ongeldige cookie-levensduur: %1"
"Invalid cookie path","Ongeldig cookiepad"
"We use cookies to make your experience better.","Wij gebruiken cookies om uw ervaring beter te maken."
"To comply with the new e-Privacy directive we need to ask for your consent to set the cookies.","Om te voldoen aan de cookie wetgeving vragen we uw toestemming om de cookies te plaatsen."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Meer informatie</a>."
"Allow Cookies","Cookies toestaan"
"We can't save the cron expression.","We kunnen de Cron opdracht niet opslaan."
Daily,Dagelijks
Weekly,Wekelijks
Monthly,Maandelijks
"Invalid cron expression: %1","Ongeldige cron expressie: %1"
"Invalid cron expression expecting 'match/modulus': %1","Ongeldige cron expressie verwacht wordt ' match/modulus': %1"
"Invalid cron expression expecting numeric modulus: %1","Ongeldige cron expressie verwacht wordt een numerieke modulus: %1"
"Invalid cron expression expecting 'from-to' structure: %1","Ongeldige cron expressie verwacht wordt ' van-naar ' structuur: %1"
"Save Currency Rates","Wisselkoersen opslaan"
Options,Opties
"Manage Currency Rates","Beheer Wisselkoersen"
"Import Service","Service importeren"
"Save Currency Symbols","Sla valuta symbolen op"
"Currency Symbols",Valutasymbolen
"Use Standard","Gebruik standaard"
"Please specify a correct Import Service.","Geef een juiste Import Service op."
"We can't initialize the import model.","We kunnen het importmodel niet initialiseren."
"Click ""Save"" to apply the rates we found.","Klik op ""Opslaan"" om de gevonden koersen toe te passen."
"Currency Rates",Wisselkoersen
"Please correct the input data for ""%1 => %2"" rate.","Corrigeer de invoergegevens voor ""%1 => %2"" koers."
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
System,systeem
"You applied the custom currency symbols.","U heeft de aangepaste valutasymbolen toegepast."
"You must first configure currency options before being able to see currency rates.","U moet eerst valuta-opties instellen voordat u wisselkoersen kunt zien."
"Old rate:","Oude koers:"
"Please specify a website.","Specifieer een website."
"Please specify an email.","Geef een email op."
"We found an invalid value in a website column.","We vonden een ongeldige waarde in een kolom van de website."
"Please enter a valid email.","Vul een geldige e-mailadres in."
"Please make sure attribute ""%s"" is not empty.","Zorg ervoor dat kenmerk ""%s"" niet leeg is."
"We can't find a customer who matches this email and website code.","Wij kunnen geen klant vinden die overeenkomt met dit emailadres en website code"
"Customer address id column is not specified","Klanten adres id kolom is niet gespecifieerd"
"We can't find that customer address.","We vinden het adres van de klant niet."
"Please enter a valid region.","Voer een geldige regio in."
"We found another row with this email website and address ID combination.","Er bestaat reeds een record met deze email website en adres ID combinatie."
"This email is found more than once in the import file.","Dit E-mailadres is meerdere malen gevonden in het importbestand."
"Orphan rows that will be skipped due default row errors","Gekoppelde rijen zullen worden overgeslagen vanwege standaard rij fouten"
"Invalid value in Store column (store does not exists?)","Ongeldige waarde in Winkel kolom (winkel bestaat niet?)"
"We can't find that email and website combination.","De combinatie van e-mailadres en website werd niet gevonden."
"Please enter a password with a valid length.","Geef een wachtwoord in met een geldige lengte."
"Sign Out",Afmelden
"Sign In",Inloggen
"You subscribe to our newsletter.","U abonneert zich op onze nieuwsbrief."
"You don't subscribe to our newsletter.","U abonneren zich niet op onze nieuwsbrief."
"You have not set a default shipping address.","U heeft geen standaard afleveradres ingevoerd."
"You have not set a default billing address.","U heeft geen standaard factuuradres ingevoerd."
"Address Book",Adresboek
"Edit Address","Bewerk adres"
"Add New Address","Adres toevoegen"
region,regio
"Create Order","Bestelling aanmaken"
"Save Customer","Klant opslaan"
"Delete Customer","Klant verwijderen"
"Reset Password","Wachtwoord herstellen"
"Are you sure you want to revoke the customer's tokens?","Weet u zeker dat u de klant tokens wenst in te trekken?"
"Force Sign-In","Forceer opnieuw inloggen"
"New Customer","Nieuwe klant"
"Save and Continue Edit",Toepassen
Back,Terug
"Please select",Selecteer
SKU,Art.nr.
Quantity,Aantal
Price,Prijs
Total,Totaal
Action,Actie
Configure,Configureren
Delete,Verwijder
"Shopping Cart from %1","Winkelwagen van %1"
Newsletter,Nieuwsbrief
"Newsletter Information",Nieuwsbriefgegevens
"Subscribed to Newsletter","Geabonneerd op nieuwsbrief"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"Start date",Begindatum
"End Date",einddatum
"Receive Date",Ontvangstdatum
Subject,Onderwerp
Sent,Verstuurd
Cancel,Annuleer
"Not Sent","Niet verstuurd"
Sending,"Bezig met verzenden"
Paused,Gepauzeerd
View,Bekijk
Unknown,Onbekend
Order,Bestelling
Purchased,Gekocht
"Bill-to Name",Factuurnaam
"Ship-to Name",Verzendnaam
"Order Total",Totaal
"Purchase Point",Verkooppunt
"Customer View",Overzicht
"There are no items in customer's shopping cart.","Er zijn geen producten in de winkelwagen van de klant."
Qty,Aantal
Confirmed,Bevestigd
"Confirmation Required","Bevestiging vereist"
"Confirmation Not Required","Bevestiging niet vereist"
Indeterminate,Onbepaalde
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres"
Never,Nooit
Unlocked,Ontgrendeld
Locked,Vergrendeld
"Deleted Stores","Verwijderde winkels"
"Add Locale","Locale toevoegen"
"Add Date","Datum toevoegen"
